,Depos,BID,ASK
sn,03-Feb-23,1.902,1.907
1w,09-Feb-23,1.890,1.900
1m,02-Mar-23,2.167,2.1870
3m,02-May-23,2.507,2.517
6m,02-Aug-23,2.973,3.003
1y,02-Feb-24,3.403,3.423
