Future,BID,ASK
13-Mar-23,97.035,97.04
19-Jun-23,96.55,96.555
18-Sep-23,96.5,96.505
18-Dec-23,96.595,96.6
18-Mar-24,96.755,96.76
17-Jun-24,96.95,96.96
16-Sep-24,97.12,97.125
16-Dec-24,97.24,97.245
17-Mar-25,97.31,97.32
